sleep_hours,screen_time,attendance,assignments,cooked_score
1,5,84,3,40.0
4,11,48,5,97.0
7,8,69,11,90.0
10,12,32,8,100.0
8,3,20,15,100.0
1,10,53,12,100.0
11,10,67,9,100.0
2,3,96,11,100.0
2,0,67,9,91.0
0,6,68,7,82.0
7,5,83,0,1.0
5,14,80,12,100.0
11,10,48,7,82.0
12,14,58,8,100.0
7,15,45,5,100.0
10,6,36,9,100.0
8,9,90,14,94.0
4,11,32,4,100.0
11,13,88,5,52.0
2,4,45,15,100.0
4,4,68,12,100.0
4,2,86,5,55.0
4,4,26,8,99.0
2,16,77,3,97.0
10,11,68,1,33.0
9,8,72,10,73.0
3,0,84,10,82.0
8,3,81,8,39.0
12,9,36,15,100.0
9,6,62,1,18.0
8,0,44,15,100.0
1,16,22,9,100.0
7,1,98,8,51.0
7,10,48,1,46.0
6,8,51,11,100.0
7,6,45,7,74.0
2,16,35,8,100.0
12,16,44,11,100.0
5,1,73,9,60.0
0,5,47,8,100.0
6,13,92,9,91.0
0,5,75,15,100.0
8,1,84,8,51.0
0,0,99,1,49.0
0,9,60,15,100.0
6,4,70,3,3.0
1,1,90,6,62.0
4,15,97,11,100.0
7,1,48,1,39.0
7,9,38,0,54.0
2,1,85,2,37.0
6,15,60,11,100.0
2,15,64,3,97.0
5,6,34,7,100.0
5,11,22,5,100.0
2,14,30,10,100.0
6,7,72,1,37.0
2,5,65,14,100.0
7,9,49,8,90.0
9,2,76,13,60.0
3,16,37,1,100.0
12,6,70,12,86.0
0,3,67,14,100.0
3,13,85,11,100.0
6,14,27,4,100.0
10,7,41,11,98.0
3,14,25,3,100.0
12,13,95,12,100.0
5,8,76,6,68.0
8,7,55,7,68.0
0,16,98,4,100.0
12,1,76,9,52.0
4,2,68,13,100.0
10,7,64,13,100.0
6,11,85,4,69.0
0,0,96,1,39.0
3,9,64,7,89.0
5,2,98,13,85.0
1,5,39,1,72.0
9,6,83,15,90.0
4,10,86,9,100.0
10,4,22,11,82.0
9,10,73,5,61.0
0,11,97,7,100.0
5,9,83,5,78.0
5,7,59,3,67.0
12,8,78,12,81.0
3,3,74,3,51.0
12,4,81,5,28.0
7,7,23,13,100.0
3,8,79,14,100.0
7,14,94,15,100.0
12,14,49,12,100.0
7,15,21,3,100.0
4,13,81,7,100.0
12,7,68,8,55.0
3,9,28,15,100.0
11,5,50,0,28.0
12,11,80,12,89.0
1,1,98,3,37.0
10,6,67,3,23.0
2,15,44,1,100.0
2,2,55,5,73.0
3,12,27,2,100.0
3,2,92,6,48.0
9,10,77,15,100.0
10,7,64,12,73.0
10,5,81,10,57.0
4,0,58,15,100.0
3,0,77,10,74.0
10,7,100,4,42.0
9,4,83,3,9.0
7,15,63,4,70.0
5,10,48,7,100.0
5,4,78,2,29.0
7,3,90,13,88.0
6,5,28,6,98.0
9,13,25,14,100.0
10,8,48,13,100.0
11,11,77,5,50.0
9,10,36,11,100.0
12,13,35,15,100.0
7,15,22,0,88.0
1,0,40,12,100.0
8,12,83,6,68.0
0,12,55,13,100.0
7,1,81,12,72.0
11,3,61,6,37.0
10,5,95,13,75.0
11,4,61,15,100.0
11,2,80,14,100.0
3,0,32,11,100.0
3,3,30,0,54.0
4,1,73,8,70.0
7,4,35,5,64.0
4,2,27,14,100.0
7,8,78,11,90.0
9,5,76,1,15.0
0,5,59,4,52.0
11,11,78,12,100.0
9,10,21,10,100.0
8,1,95,3,11.0
5,14,29,6,100.0
2,11,63,7,100.0
12,11,30,15,100.0
7,8,98,10,76.0
8,1,99,13,67.0
5,2,100,14,69.0
10,11,21,10,100.0
6,15,69,0,65.0
0,0,31,4,98.0
4,2,42,14,100.0
4,1,37,2,49.0
9,8,81,0,14.0
3,14,81,11,100.0
5,10,57,2,64.0
6,15,86,13,100.0
8,16,57,5,91.0
0,4,86,13,100.0
5,11,80,6,70.0
6,10,20,15,100.0
2,14,64,7,100.0
7,2,47,12,94.0
4,0,40,10,100.0
8,15,32,3,100.0
4,1,46,2,55.0
8,1,26,4,63.0
9,2,41,8,66.0
3,7,93,12,100.0
8,14,72,5,69.0
4,6,98,14,100.0
9,5,98,8,37.0
8,8,23,14,100.0
2,0,42,5,97.0
3,7,89,1,41.0
8,2,95,12,78.0
9,3,52,4,46.0
10,14,47,11,100.0
5,5,27,10,100.0
1,14,20,8,100.0
6,2,56,7,70.0
1,13,82,6,100.0
10,13,41,0,76.0
1,3,89,3,61.0
10,11,40,11,100.0
0,16,54,6,100.0
10,6,98,15,88.0
10,8,24,10,100.0
11,2,79,6,37.0
10,12,65,14,100.0
2,14,69,5,100.0
5,0,67,7,74.0
7,5,25,10,98.0
8,1,75,12,66.0
6,13,78,5,71.0
3,5,48,9,100.0
5,13,90,15,100.0
4,3,96,2,32.0
7,7,37,3,68.0
0,2,21,13,100.0
0,13,27,2,100.0
12,16,94,0,47.0
10,7,73,14,91.0
5,13,57,9,100.0
9,5,67,4,35.0
11,15,46,14,100.0
1,13,39,0,83.0
4,2,31,0,55.0
0,9,62,1,78.0
6,8,80,12,92.0
0,12,50,3,100.0
3,6,80,5,62.0
8,13,93,7,81.0
0,8,86,12,100.0
3,14,54,15,100.0
5,13,34,2,100.0
5,5,35,0,54.0
11,3,32,2,42.0
12,7,54,11,88.0
7,16,94,2,54.0
0,8,78,4,82.0
6,0,40,10,100.0
0,13,73,11,100.0
12,10,94,11,94.0
6,2,49,3,41.0
2,8,67,12,100.0
10,13,54,3,83.0
7,8,57,8,90.0
2,3,50,6,70.0
12,3,97,3,24.0
0,7,43,2,96.0
12,1,68,5,37.0
12,8,51,2,54.0
7,13,74,5,63.0
2,8,98,10,100.0
1,15,77,12,100.0
0,16,22,10,100.0
2,15,99,12,100.0
1,11,88,12,100.0
1,2,29,11,100.0
5,10,44,8,100.0
11,13,87,5,68.0
0,4,80,11,100.0
1,15,48,3,100.0
5,4,38,14,100.0
2,2,62,4,66.0
3,11,85,12,100.0
0,0,93,5,76.0
7,8,80,10,78.0
12,8,62,2,34.0
6,3,44,7,88.0
6,2,39,3,49.0
2,16,67,7,100.0
9,1,43,9,92.0
9,0,30,9,85.0
2,7,74,15,100.0
1,12,47,2,97.0
11,14,88,9,76.0
0,7,82,6,87.0
6,11,78,10,88.0
6,11,24,12,100.0
11,13,70,11,100.0
1,14,40,8,100.0
6,14,31,3,99.0
12,8,69,7,67.0
7,7,23,2,49.0
0,5,61,15,100.0
8,3,57,6,54.0
6,6,44,2,66.0
2,3,33,11,100.0
7,11,94,14,100.0
6,12,51,14,100.0
10,2,30,6,93.0
12,11,80,13,100.0
7,1,37,10,97.0
5,1,46,9,95.0
8,8,74,9,77.0
4,0,73,10,100.0
2,7,94,10,100.0
2,5,40,5,92.0
0,5,63,1,56.0
11,16,24,10,100.0
7,11,60,2,51.0
1,5,78,15,100.0
2,7,73,5,59.0
7,9,93,13,100.0
7,0,41,3,58.0
10,12,84,5,66.0
3,16,83,0,68.0
3,2,90,9,77.0
4,7,23,11,100.0
5,13,84,0,39.0
4,2,34,2,53.0
6,15,95,7,87.0
1,12,41,7,100.0
6,16,66,10,100.0
9,12,100,3,60.0
6,5,65,5,43.0
0,16,33,14,100.0
6,13,69,7,87.0
4,16,39,6,100.0
2,7,69,10,91.0
12,10,52,6,88.0
2,0,78,12,92.0
3,6,62,3,51.0
12,16,98,8,100.0
11,9,31,11,100.0
1,10,59,9,100.0
1,8,39,5,100.0
0,8,57,13,100.0
4,4,22,11,100.0
3,16,47,10,100.0
10,8,75,2,18.0
9,16,32,4,97.0
1,6,96,4,51.0
2,8,85,13,100.0
6,6,56,4,73.0
6,12,68,7,95.0
11,10,85,15,100.0
3,13,55,8,100.0
4,10,73,12,87.0
4,12,45,8,100.0
5,13,94,12,100.0
8,12,91,5,63.0
1,0,59,5,75.0
4,7,62,8,82.0
11,11,41,3,74.0
2,11,39,5,100.0
3,7,27,3,100.0
9,7,48,10,100.0
5,12,59,15,100.0
11,11,49,0,39.0
7,15,100,6,74.0
0,0,74,13,100.0
9,12,35,9,100.0
7,6,65,10,83.0
10,4,81,11,76.0
6,7,26,5,76.0
